Year,Publisher,Games,Sales,Json
1995,Crystal Dynamics,3,1.12,"{'Publisher':'Crystal Dynamics','Games':3,'Sales':1.12},"
1995,Data East,1,0.04,"{'Publisher':'Data East','Games':1,'Sales':0.04},"
1995,Electronic Arts,11,3.33,"{'Publisher':'Electronic Arts','Games':11,'Sales':3.33},"
1995,Enix Corporation,2,3.32,"{'Publisher':'Enix Corporation','Games':2,'Sales':3.32},"
1995,Epoch,2,0.51,"{'Publisher':'Epoch','Games':2,'Sales':0.51},"
1995,Fuji,1,0.03,"{'Publisher':'Fuji','Games':1,'Sales':0.03},"
1995,Glams,1,0.08,"{'Publisher':'Glams','Games':1,'Sales':0.08},"
1995,GT Interactive,1,0.27,"{'Publisher':'GT Interactive','Games':1,'Sales':0.27},"
1995,Hect,1,0.04,"{'Publisher':'Hect','Games':1,'Sales':0.04},"
1995,Hudson Soft,4,0.82,"{'Publisher':'Hudson Soft','Games':4,'Sales':0.82},"
1995,Human Entertainment,2,0.39,"{'Publisher':'Human Entertainment','Games':2,'Sales':0.39},"
1995,Imageworks,1,0.02,"{'Publisher':'Imageworks','Games':1,'Sales':0.02},"
1995,Interplay,3,0.3,"{'Publisher':'Interplay','Games':3,'Sales':0.3},"
1995,Jaleco,2,0.6,"{'Publisher':'Jaleco','Games':2,'Sales':0.6},"
1995,Kokopeli Digital Studios,1,0.03,"{'Publisher':'Kokopeli Digital Studios','Games':1,'Sales':0.03},"
1995,Konami Digital Entertainment,12,2.79,"{'Publisher':'Konami Digital Entertainment','Games':12,'Sales':2.79},"
1995,Laguna,2,0.63,"{'Publisher':'Laguna','Games':2,'Sales':0.63},"
1995,Media Rings,1,0.1,"{'Publisher':'Media Rings','Games':1,'Sales':0.1},"
1995,MediaQuest,1,0.05,"{'Publisher':'MediaQuest','Games':1,'Sales':0.05},"
1995,Micro Cabin,1,0.08,"{'Publisher':'Micro Cabin','Games':1,'Sales':0.08},"
1995,Microprose,1,0.09,"{'Publisher':'Microprose','Games':1,'Sales':0.09},"
1995,Mindscape,1,0.24,"{'Publisher':'Mindscape','Games':1,'Sales':0.24},"
1995,Namco Bandai Games,11,2.52,"{'Publisher':'Namco Bandai Games','Games':11,'Sales':2.52},"
1995,NEC,1,0.14,"{'Publisher':'NEC','Games':1,'Sales':0.14},"
1995,New,1,0.36,"{'Publisher':'New','Games':1,'Sales':0.36},"
1995,Nichibutsu,1,0.28,"{'Publisher':'Nichibutsu','Games':1,'Sales':0.28},"
1995,Nintendo,10,16.72,"{'Publisher':'Nintendo','Games':10,'Sales':16.72},"
1995,Ocean,2,0.29,"{'Publisher':'Ocean','Games':2,'Sales':0.29},"
1995,Pack-In-Video,2,0.11,"{'Publisher':'Pack-In-Video','Games':2,'Sales':0.11},"
1995,Panther Software,1,0.17,"{'Publisher':'Panther Software','Games':1,'Sales':0.17},"
1995,Pow,1,0.05,"{'Publisher':'Pow','Games':1,'Sales':0.05},"
1995,Psygnosis,7,1.69,"{'Publisher':'Psygnosis','Games':7,'Sales':1.69},"
1995,Quest,1,0.71,"{'Publisher':'Quest','Games':1,'Sales':0.71},"
1995,Riverhillsoft,1,0.04,"{'Publisher':'Riverhillsoft','Games':1,'Sales':0.04},"
1995,Sega,27,7.93,"{'Publisher':'Sega','Games':27,'Sales':7.93},"
1995,Seta Corporation,4,0.33,"{'Publisher':'Seta Corporation','Games':4,'Sales':0.33},"
1995,Shogakukan,2,0.11,"{'Publisher':'Shogakukan','Games':2,'Sales':0.11},"
1995,SNK,2,0.28,"{'Publisher':'SNK','Games':2,'Sales':0.28},"
1995,SNK Playmore,1,0.28,"{'Publisher':'SNK Playmore','Games':1,'Sales':0.28},"
1995,Sonnet,1,0.04,"{'Publisher':'Sonnet','Games':1,'Sales':0.04},"
1995,Sony Computer Entertainment,31,18.45,"{'Publisher':'Sony Computer Entertainment','Games':31,'Sales':18.45},"
